,,,,,,,SPEED DATA,,<- HRPDC TRAVEL TIME COLLECTION DATA ->,,,,INRIX DATA ->,,,,TRAVEL TIME RELIABILITY DATA,,,
JURIS NAME,MPA?,ROUTE #,FACILITY NAME,SEGMENT FROM,SEGMENT TO,DIR,1995 AM SPEED,1995 PM SPEED,2000 AM SPEED,2000 PM SPEED,2005 AM SPEED,2005 PM SPEED,2012 SLOWEST AM  SPEED,2012 HIGHEST AM  TTI,2012 SLOWEST PM  SPEED,2012 HIGHEST PM  TTI,2012 HIGHEST AM BUF INDEX,2012 HIGHEST AM PTI,2012 HIGHEST PM BUF INDEX,2012 HIGHEST PM PTI
HAM,Y,,,,,WB,55.0,55.0,55.0,55.0,53.2,48.5,65,0.97,62,1.02,0.10,1.07,0.83,1.86
HAM,Y,0064,I-64,MAGRUDER BLVD,MERCURY BLVD,EB,52.6,55.0,55.0,55.0,54.0,55.9,65,0.97,65,0.97,0.14,1.11,0.12,1.08
HAM,Y,,,,,WB,55.0,55.0,55.0,55.0,50.2,40.8,65,0.97,64,0.98,0.05,1.02,0.48,1.45
HAM,Y,0064,I-64,MERCURY BLVD,I-664,EB,55.0,55.0,55.0,55.0,52.1,52.4,64,0.98,64,0.98,0.42,1.40,0.54,1.51
HAM,Y,,,,,WB,55.0,55.0,55.0,55.0,50.7,22.2,64,0.97,63,0.99,0.05,1.03,0.28,1.26
HAM,Y,0064,I-64,I-664,ARMISTEAD AVE,EB,55.0,55.0,55.0,55.0,53.3,53.0,61,1.02,61,1.02,1.83,2.83,1.30,2.35
HAM,Y,,,,,WB,55.0,55.0,55.0,55.0,57.8,15.8,65,0.99,64,0.99,0.06,1.04,0.22,1.21
HAM,Y,0064,I-64,ARMISTEAD AVE,RIP RAP RD,EB,55.0,55.0,55.0,55.0,57.1,54.8,58,1.08,58,1.08,3.12,4.33,2.70,3.83
HAM,Y,,,,,WB,55.0,55.0,55.0,55.0,56.9,45.7,64,0.98,63,0.98,0.21,1.16,0.09,1.07
HAM,Y,0064,I-64,RIP RAP RD,SETTLERS LANDING RD,EB,55.0,55.0,55.0,55.0,22.1,5.7,33,2.00,38,1.86,3.99,7.34,4.31,6.69
HAM,Y,,,,,WB,55.0,55.0,55.0,55.0,54.8,45.7,64,0.98,63,0.98,0.21,1.16,0.09,1.07
HAM,Y,0064,I-64,SETTLERS LANDING RD,MALLORY ST,EB,55.0,55.0,55.0,55.0,41.2,49.8,26,2.39,28,2.39,1.80,4.64,2.18,5.01
HAM,Y,,,,,WB,55.0,55.0,55.0,55.0,57.8,54.3,63,0.97,63,0.98,0.08,1.04,0.08,1.06
HAM,Y,0064,I-64/HRBT,MALLORY ST,NORFOLK CL,EB,55.0,55.0,52.5,53.8,38.8,45.8,51,1.14,48,1.20,0.34,1.49,0.51,1.66
